app_num,year,class
15125517,2016,No
15056739,2016,No
15303387,2016,No
15318238,2016,Yes
15157153,2016,No
15243815,2016,No
14913186,2016,No
15396365,2016,Yes
14906090,2016,No
15345411,2016,Yes
15135927,2016,No
15024055,2016,No
15386074,2016,No
15113940,2016,No
15022504,2016,No
15131338,2016,No
15028765,2016,No
15235031,2016,No
15039664,2016,No
15111877,2016,No
15186679,2016,Yes
15192155,2016,Yes
15224535,2016,Yes
15257138,2016,Yes
15063341,2016,Yes
15351644,2016,Yes
14990823,2016,No
15246175,2016,Yes
15149006,2016,Yes
15186524,2016,Yes
15030382,2016,Yes
15146309,2016,No
15315803,2016,No
15128139,2016,No
15237679,2016,No
15146705,2016,No
15230576,2016,Yes
15024593,2016,No
15041542,2016,No
15338365,2016,No
15200709,2016,No
15144369,2016,No
15282253,2016,No
15298058,2016,No
15172382,2016,No
15378872,2016,Yes
15242702,2016,No
15376787,2016,No
15111203,2016,Yes
15227504,2016,Yes
15040401,2016,Yes
15266316,2016,No
15351876,2016,Yes
15122504,2016,No
15278899,2016,Yes
15245793,2016,No
15374146,2016,No
15160710,2016,Yes
15204369,2016,No
15063065,2016,Yes
15262696,2016,No
15115411,2016,Yes
15043476,2016,Yes
15125075,2016,No
15086370,2016,No
15259984,2016,Yes
15283088,2016,Yes
15337862,2016,No
15367204,2016,No
15341173,2016,No
15139901,2016,Yes
15262467,2016,Yes
15174218,2016,No
15138964,2016,No
15323212,2016,No
15390986,2016,No
15116599,2016,No
15350531,2016,Yes
15220862,2016,No
14780709,2016,No
15041452,2016,No
14991365,2016,No
15010609,2016,No
15348045,2016,No
14987415,2016,No
15029872,2016,Yes
15095185,2016,Yes
15031858,2016,Yes
15254973,2016,Yes
14908740,2016,Yes
15000408,2016,No
15022959,2016,No
15226277,2016,No
15246622,2016,No
15348079,2016,Yes
15218281,2016,Yes
14907845,2016,Yes
15084056,2016,Yes
15111948,2016,No
15071578,2016,No
15058423,2016,Yes
15303777,2016,No
15040553,2016,Yes
15235489,2016,No
15227727,2016,Yes
15208928,2016,Yes
15392108,2016,Yes
15262346,2016,Yes
15270285,2016,Yes
15232571,2016,No
15154603,2016,No
15060322,2016,No
15000317,2016,No
15135306,2016,No
15067578,2016,No
15184838,2016,Yes
15032973,2016,No
15315788,2016,No
15381192,2016,Yes
15132457,2016,No
15110641,2016,No
15160169,2016,Yes
15011774,2016,No
15363731,2016,Yes
15278378,2016,No
15312654,2016,No
15317653,2016,No
15216307,2016,Yes
15152026,2016,No
15049523,2016,No
15202073,2016,Yes
15374544,2016,No
15254226,2016,No
15043264,2016,Yes
15183248,2016,No
14911839,2016,Yes
15396011,2016,Yes
15155851,2016,No
15090821,2016,Yes
15111134,2016,Yes
15217417,2016,Yes
15011162,2016,No
14905718,2016,No
15245844,2016,no
15300926,2016,No
15226359,2016,No
15152623,2016,No
15165138,2016,Yes
14911671,2016,Yes
15363159,2016,No
15196006,2016,Yes
15217419,2016,Yes
15132538,2016,No
14911066,2016,No
15240607,2016,Yes
15113818,2016,Yes
15247835,2016,Yes
15158282,2016,No
15108079,2016,No
15373431,2016,Yes
15294921,2016,Yes
15166317,2016,Yes
15382665,2016,No
15284733,2016,No
14996598,2016,Yes
15086612,2016,No
15374565,2016,No
15186860,2016,Yes
15054694,2016,No
15054713,2016,No
15187155,2016,No
15259696,2016,No
15235801,2016,No
15387086,2016,No
15008992,2016,Yes
15269236,2016,Yes
15160594,2016,Yes
15083507,2016,No
15206753,2016,Yes
15187136,2016,Yes
15179324,2016,Yes
15033268,2016,No
15109359,2016,No
14992266,2016,No
15352094,2016,Yes
15211925,2016,No
15070586,2016,No
15236247,2016,Yes
15144748,2016,No
15183676,2016,No
15119624,2016,No
14913783,2016,Yes
15376810,2016,Yes
15260982,2016,Yes
15192005,2016,Yes
15340344,2016,Yes
15169190,2016,No
14911361,2016,Yes
15113475,2016,Yes
15034945,2016,no
15070618,2016,No
14914121,2016,Yes
15016177,2016,No
