,class_subclass,sic
0,435007400,14.0
1,435007400,55.0
2,137884000,21.0
3,435280000,7.0
4,241001000,24.0
5,241001000,25.0
6,241001000,30.0
7,241001000,32.0
8,707100000,27.0
10,701029000,46.0
11,701029000,55.0
12,514025000,9.0
13,514025000,14.0
14,433006000,55.0
15,422173000,29.0
17,192035000,30.0
18,192035000,46.0
19,192035000,54.0
20,257678000,43.0
21,439409000,43.0
22,439676000,43.0
23,359459000,55.0
24,544234000,7.0
25,544234000,14.0
26,800021000,14.0
27,800021000,56.0
28,514044000,9.0
29,514044000,14.0
30,348374000,42.0
31,348374000,43.0
32,220581000,17.0
33,220581000,21.0
34,514350000,9.0
35,514350000,14.0
37,17411300R,39.0
38,474051000,30.0
39,554191000,7.0
40,248523000,21.0
41,436514000,14.0
42,436514000,55.0
43,524284000,12.0
44,524284000,16.0
45,428138000,2.0
46,428138000,16.0
47,428138000,56.0
48,148301000,19.0
49,438022000,43.0
50,715243000,27.0
51,210670000,30.0
52,114230100,49.0
53,523160000,13.0
54,702019000,55.0
55,297300300,56.0
56,540145000,7.0
58,435028000,14.0
59,435028000,55.0
60,307010100,46.0
61,264279000,16.0
62,264279000,17.0
63,361699000,43.0
64,428156000,2.0
65,428156000,16.0
66,428156000,56.0
67,297353000,56.0
68,356073000,55.0
69,524435000,12.0
70,524435000,16.0
71,428690000,17.0
72,427569000,16.0
73,427569000,21.0
74,427569000,36.0
75,705001000,27.0
76,709201000,27.0
77,602019000,55.0
78,800278000,56.0
79,208243000,15.0
80,623006640,55.0
81,293107000,24.0
82,293107000,25.0
83,293107000,46.0
84,293107000,52.0
85,562567000,7.0
86,623023710,55.0
87,188158000,32.0
88,188158000,36.0
89,188158000,46.0
90,188158000,50.0
91,188158000,51.0
92,188158000,52.0
93,188158000,54.0
94,441035000,16.0
95,441035000,49.0
96,441035000,56.0
97,182133000,55.0
98,435006000,14.0
99,435006000,55.0
100,184007400,30.0
101,435101000,7.0
102,324460000,35.0
104,184001500,46.0
105,540001000,7.0
106,428292100,16.0
107,428292100,17.0
108,428292100,56.0
109,136243000,43.0
110,156094000,16.0
111,156094000,17.0
112,156094000,21.0
114,514234500,9.0
115,514234500,14.0
116,554001000,7.0
117,548152000,7.0
118,600028000,55.0
119,427554000,16.0
120,427554000,21.0
121,427554000,36.0
122,720718000,42.0
123,720718000,43.0
124,464175000,30.0
125,464175000,46.0
126,712200000,27.0
127,415231000,23.0
128,415231000,30.0
129,709224000,27.0
130,435069100,14.0
131,235462130,27.0
132,524002000,17.0
133,514019000,9.0
134,514019000,14.0
135,219617000,36.0
136,252070000,13.0
137,424001770,14.0
138,548400000,7.0
139,704257000,27.0
140,704257000,56.0
142,435196000,7.0
143,702065000,55.0
144,376458000,21.0
145,376458000,29.0
146,514183000,9.0
147,514183000,14.0
148,424423000,9.0
149,424423000,14.0
150,455466000,43.0
151,514002000,9.0
152,514002000,14.0
153,257784000,43.0
154,150160000,16.0
155,150160000,56.0
156,428480000,16.0
157,264046500,16.0
158,102475000,53.0
159,345156000,27.0
160,345156000,43.0
161,431121000,21.0
162,431121000,55.0
163,123193500,23.0
164,424093200,14.0
165,435005000,14.0
166,435005000,55.0
167,704256300,27.0
168,704256300,56.0
169,530350000,7.0
170,600008000,55.0
171,711162000,27.0
172,280062000,52.0
173,280062000,56.0
174,340944000,43.0
175,528038000,8.0
176,119200000,56.0
177,524322000,12.0
178,524322000,16.0
179,427214000,16.0
180,427214000,17.0
181,427214000,21.0
183,510220000,11.0
184,704207000,27.0
185,704207000,56.0
186,239007000,24.0
187,239007000,25.0
188,239007000,30.0
189,239007000,31.0
190,123193600,32.0
191,428426000,16.0
192,428426000,17.0
193,514043000,9.0
194,514043000,14.0
195,264333000,17.0
196,514252100,9.0
197,514252100,14.0
198,514602000,9.0
199,514602000,14.0
200,702020000,55.0
202,435007210,14.0
203,435007210,55.0
204,600025000,55.0
205,455575600,43.0
206,108023000,56.0
207,338220000,36.0
208,338220000,43.0
209,546133000,7.0
210,210150000,30.0
211,210150000,31.0
212,315141000,43.0
213,424184100,14.0
214,435007330,14.0
215,435007330,55.0
216,510175000,11.0
218,702014000,55.0
219,435007920,14.0
220,435007920,55.0
221,222129000,24.0
222,222129000,25.0
223,222129000,30.0
224,222129000,31.0
225,435239000,7.0
226,361311000,43.0
227,219444100,30.0
228,219444100,38.0
229,209421000,24.0
230,209421000,25.0
231,209421000,27.0
232,209421000,29.0
233,209421000,30.0
234,525333800,8.0
235,525333800,16.0
236,347010000,27.0
237,435325000,14.0
238,370217000,43.0
239,356317000,55.0
240,382154000,27.0
241,502178000,6.0
242,162005000,56.0
243,401279000,56.0
244,307084000,35.0
245,307084000,43.0
246,514252140,9.0
247,514252140,14.0
248,514722000,9.0
249,514722000,14.0
251,114245000,49.0
252,318575000,36.0
253,318575000,55.0
254,174350000,39.0
256,114244000,49.0
257,463042000,56.0
258,398128000,43.0
259,702007000,55.0
260,536024500,7.0
261,139409000,2.0
263,439422000,43.0
264,436518000,14.0
265,436518000,55.0
266,257076000,43.0
267,370342000,43.0
268,585648000,7.0
269,709200000,27.0
270,709206000,27.0
271,600437000,40.0
272,600437000,55.0
273,340902000,43.0
274,439159000,43.0
276,705026000,27.0
277,435007100,14.0
278,435007100,55.0
279,431012000,21.0
280,431012000,55.0
281,525329700,8.0
282,525329700,16.0
283,530300000,7.0
284,356071000,55.0
285,106213100,12.0
286,705007000,27.0
287,235491000,27.0
288,705035000,27.0
289,501065000,17.0
290,568812000,7.0
291,128200230,55.0
292,254200000,21.0
293,410070000,21.0
294,379218010,43.0
295,717109000,27.0
296,351047000,55.0
297,436086000,55.0
298,424535000,14.0
299,514036000,9.0
300,514036000,14.0
301,435288700,55.0
302,101240000,29.0
303,128205240,55.0
304,556081000,7.0
305,382186000,27.0
306,431354000,21.0
307,431354000,55.0
308,280808000,46.0
309,166380000,15.0
310,524556000,12.0
311,524556000,16.0
312,356605000,55.0
313,455234100,42.0
314,257791000,43.0
315,438005000,43.0
316,475230000,30.0
317,475230000,46.0
318,475230000,54.0
320,435091100,14.0
321,423448000,6.0
322,514221000,9.0
323,514221000,14.0
324,425425000,29.0
325,220495060,16.0
326,220495060,21.0
327,702190000,55.0
328,507136000,13.0
329,428492000,16.0
330,704211000,27.0
331,704211000,56.0
332,235492000,27.0
333,345087000,27.0
334,345087000,43.0
335,516098000,13.0
336,423461000,6.0
337,705037000,27.0
338,424400000,9.0
339,424400000,14.0
